left_entity,left_class,relation,right_entity,right_class,context
Harry's parents,Q5,P157,Voldemort,Q5,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
Voldemort's first downfall,Q1190554,P828,unsuccessful attempt to kill Harry,Q1190554,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
the end of the First Wizarding War,Q1190554,P828,Voldemort's first downfall,Q1190554,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
First Wizarding War,Q180684,P1534,Voldemort's first downfall,Q1190554,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
Harry,Q5,P1449,"""The Boy Who Lived""",Q82799,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
Harry,Q5,P7047,Voldemort,Q5,"Voldemort made his first attempt to circumvent the prophecy when Harry was a year and three months old. During this attempt, he murdered Harry's parents as they tried to protect him, but this unsuccessful attempt to kill Harry led to Voldemort's first downfall. This downfall marked the end of the First Wizarding War, and to Harry henceforth being known as ""The Boy Who Lived"", as he was the only known survivor of the Killing Curse due to being magically protected by his mother's loving sacrifice. In accordance with the terms of the prophecy, this attempt on his life also established him, not Neville, as Voldemort's nemesis."
Harry James Potter,Q5,P569,31 July 1980,Q205892,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry James Potter,Q5,P27,English,Q231002,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
half-blood,Q105673273,P361,Harry James Potter,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
wizard,Q105673273,P361,Harry James Potter,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
